KEY,TYPE,SUMMARY,STATUS,ASSIGNEE,PRIORITY,RESOLUTION,CREATED,UPDATED
MSSCI-11409,Story,[Cyclist[] B-22: Prompt Bar Stats Display,Done,Keith Avery,Medium,Done,2026-01-07 10:30:33,2026-01-12 10:11:00
MSSCI-11410,Story,[Cyclist[] B-21: Story Section Improvements,Done,Keith Avery,Medium,Done,2026-01-07 10:30:35,2026-01-12 10:11:02
MSSCI-11411,Story,[Cyclist[] B-23: Agent & Workflow Launcher Menu,Done,Keith Avery,Medium,Done,2026-01-07 10:30:45,2026-01-12 10:11:21
MSSCI-11412,Story,[Cyclist[] B-22: Prompt Bar Stats Display,Done,Keith Avery,Medium,Done,2026-01-07 10:30:50,2026-01-12 10:11:22
MSSCI-11413,Story,[Cyclist[] B-23: Agent & Workflow Launcher Menu,Done,Keith Avery,Medium,Done,2026-01-07 10:31:01,2026-01-12 10:11:22
MSSCI-11414,Story,[Cyclist[] B-23: Agent & Workflow Launcher Menu,Done,Keith Avery,Medium,Done,2026-01-07 10:31:19,2026-01-12 10:11:23
MSSCI-11416,Story,[Cyclist[] B-24: Stale PTY Process Cleanup on Startup,Done,Keith Avery,High,Done,2026-01-07 10:47:46,2026-01-12 10:11:25
MSSCI-11417,Epic,Epic 18: Cyclist-Pennyfarthing Monorepo Consolidation,Done,Keith Avery,High,Done,2026-01-07 14:32:27,2026-01-12 10:11:13
MSSCI-11418,Story,Story 11-1: Create @pennyfarthing/shared package with portrait resolver,Done,Keith Avery,High,Done,2026-01-07 14:33:07,2026-01-09 09:06:53
MSSCI-11419,Story,Story 11-2: Convert Pennyfarthing to pnpm workspace structure,To Do,Keith Avery,High,,2026-01-07 14:33:11,2026-01-10 20:08:18
MSSCI-11420,Story,Story 11-3: Migrate Cyclist into monorepo as @pennyfarthing/cyclist,Done,Keith Avery,High,Done,2026-01-07 14:33:14,2026-01-09 09:06:54
MSSCI-11421,Story,Story 11-4: Test all install and runtime scenarios,To Do,Keith Avery,High,,2026-01-07 14:33:18,2026-01-10 20:08:20
MSSCI-11422,Story,Story 11-5: Update CI/CD and publish scoped packages,To Do,Keith Avery,Medium,,2026-01-07 14:33:23,2026-01-10 20:07:57
MSSCI-11425,Epic,Epic 19: Rich Agent Telemetry (claude_telemetry port),Done,Keith Avery,Medium,Done,2026-01-07 16:28:27,2026-01-12 10:11:05
MSSCI-11426,Story,Story 12-1: Extend OTLP receiver for tool spans and events,Done,Keith Avery,High,Done,2026-01-07 16:28:52,2026-01-10 20:00:40
MSSCI-11427,Story,Story 12-2: Create telemetry-types.ts with OTEL semantic conventions,Done,Keith Avery,High,Done,2026-01-07 16:28:55,2026-01-10 20:00:41
MSSCI-11428,Story,Story 12-3: Implement span hierarchy builder,Done,Keith Avery,High,Done,2026-01-07 16:28:58,2026-01-12 10:11:05
MSSCI-11429,Story,Story 12-4: Add Pennyfarthing agent context to telemetry,Done,Keith Avery,High,Done,2026-01-07 16:29:14,2026-01-12 10:11:06
MSSCI-11430,Story,Story 12-5: Add story context to telemetry,Done,Keith Avery,Medium,Done,2026-01-07 16:29:15,2026-01-12 10:11:07
MSSCI-11431,Story,Story 12-6: Track TDD phase transitions,Done,Keith Avery,Medium,Done,2026-01-07 16:29:18,2026-01-12 10:11:08
MSSCI-11432,Story,Story 12-7: Create telemetry dashboard API,Done,Keith Avery,Medium,Done,2026-01-07 16:29:32,2026-01-12 10:11:08
MSSCI-11433,Story,Story 12-8: Add OTEL export to external backends,Done,Keith Avery,Low,Done,2026-01-07 16:29:34,2026-01-12 10:11:09
MSSCI-11434,Story,Story 12-9: Create agent evaluation tool with performance metrics,Done,Keith Avery,Medium,Done,2026-01-07 16:29:37,2026-01-12 10:16:10
MSSCI-11482,Epic,Epic 17: Cyclist UX Improvements,Done,Keith Avery,Medium,Done,2026-01-09 17:13:23,2026-01-12 10:11:23
MSSCI-11483,Story,Story 17-1: Implement message input buffer for non-blocking input,Done,Keith Avery,Medium,Done,2026-01-09 17:13:41,2026-01-12 10:11:23
MSSCI-11484,Story,Story 17-2: Fix tab panel layout - expanded state hides main content,Done,Keith Avery,Medium,Done,2026-01-09 17:13:43,2026-01-12 10:11:24
MSSCI-11485,Story,Story 17-3: Cyclist UX bug cleanup batch,Done,Keith Avery,Medium,Done,2026-01-09 17:13:45,2026-01-12 10:11:24
MSSCI-11486,Story,Story 17-4: Popup profile view for persona details,Done,Keith Avery,Medium,Done,2026-01-09 17:13:48,2026-01-12 10:11:26
MSSCI-11487,Story,Story 17-5: BUG: Changed Files panel not showing files,Done,Keith Avery,Medium,Done,2026-01-09 17:13:50,2026-01-12 10:11:26
MSSCI-11488,Story,Story 17-6: BUG: Context meter not wired to Electron polling,Done,Keith Avery,Medium,Done,2026-01-09 17:13:52,2026-01-12 10:16:26
MSSCI-11489,Story,Story 17-7: Session ID tracking for context and agent state,Done,Keith Avery,Medium,Done,2026-01-09 17:13:56,2026-01-12 10:11:27
MSSCI-11490,Story,Story 17-8: Fix story panel not loading in Electron (IPC vs HTTP mismatch),Done,Keith Avery,Medium,Done,2026-01-09 17:13:58,2026-01-12 10:11:13
MSSCI-11494,Epic,Epic 7: Agent Performance Benchmarking Suite,To Do,,Medium,,2026-01-10 07:15:58,2026-01-10 07:18:49
MSSCI-11495,Epic,Epic 21: Command & Skill Expansion,Done,Keith Avery,Medium,Done,2026-01-10 07:16:06,2026-01-12 10:16:14
MSSCI-11496,Story,Story 21-1: /check command with dev-handoff integration,Done,Keith Avery,High,Done,2026-01-10 07:17:32,2026-01-12 10:11:15
MSSCI-11497,Story,Story 21-2: /prime command with agent-session hooks,Done,Keith Avery,High,Done,2026-01-10 20:14:27,2026-01-12 10:16:11
MSSCI-11498,Story,Story 21-3: mermaid skill documentation,Done,Keith Avery,Medium,Done,2026-01-10 20:14:29,2026-01-12 10:11:12
MSSCI-11499,Story,Story 21-4: /run-ci thin wrapper command,Done,Keith Avery,Medium,Done,2026-01-10 20:14:31,2026-01-12 10:11:12
MSSCI-11500,Story,Story 21-5: changelog skill for release workflow,Done,Keith Avery,Low,Done,2026-01-10 20:14:33,2026-01-12 10:11:15
MSSCI-11501,Story,Story 21-6: /help command for Pennyfarthing,Done,Keith Avery,High,Done,2026-01-10 20:14:35,2026-01-12 10:11:16
MSSCI-11508,Epic,Epic 8: Automatic State Reconciliation,Done,,Highest,Done,2026-01-11 01:31:03,2026-01-12 10:32:50
MSSCI-11509,Story,8-1: Git hook for PR merge detection,Done,Keith Avery,Highest,Done,2026-01-11 01:31:16,2026-01-12 10:26:58
MSSCI-11510,Story,8-2: Startup drift detection,Done,Keith Avery,Highest,Done,2026-01-11 01:31:36,2026-01-12 10:24:09
MSSCI-11511,Story,8-3: Session boundary breadcrumbs,Done,Keith Avery,High,Done,2026-01-11 01:31:48,2026-01-12 10:24:08
MSSCI-11512,Epic,Epic 9: Skill Discovery & Documentation Hub,Canceled,,Medium,,2026-01-11 01:38:28,2026-01-12 10:33:02
MSSCI-11513,Epic,Epic 9: Skill Discovery & Documentation Hub,To Do,,Medium,,2026-01-11 01:38:29,2026-01-12 10:33:02
MSSCI-11514,Story,Story 9-1: Create skill registry schema,Canceled,Keith Avery,High,,2026-01-11 01:38:42,2026-01-12 10:22:03
MSSCI-11515,Story,Story 9-1: Create skill registry schema,Done,Keith Avery,High,Done,2026-01-11 01:38:43,2026-01-12 10:22:03
MSSCI-11516,Story,Story 9-2: Build skill search utility,Done,Keith Avery,High,Done,2026-01-11 01:38:55,2026-01-12 10:11:11
MSSCI-11517,Story,Story 9-2: Build skill search utility,To Do,,High,,2026-01-11 01:38:55,2026-01-11 01:38:55
MSSCI-11518,Story,Story 9-3: Add skill suggestions to agents,Done,Keith Avery,High,Done,2026-01-11 01:39:03,2026-01-12 10:24:06
MSSCI-11519,Story,Story 9-3: Add skill suggestions to agents,Canceled,,High,,2026-01-11 01:39:03,2026-01-12 10:22:10
MSSCI-11520,Story,Story 9-4: Create skill documentation generator,Canceled,,High,,2026-01-11 01:39:10,2026-01-12 10:22:08
MSSCI-11521,Story,Story 9-4: Create skill documentation generator,Done,Keith Avery,High,Done,2026-01-11 01:39:10,2026-01-12 10:24:04
MSSCI-11522,Story,Story 9-5: Add skill usage analytics,Canceled,,Medium,,2026-01-11 01:39:17,2026-01-12 10:22:05
MSSCI-11523,Story,Story 9-5: Add skill usage analytics,Done,Keith Avery,Medium,Done,2026-01-11 01:39:18,2026-01-12 10:24:02
MSSCI-11526,Epic,Epic 20: Cyclist Web Mode Improvements,Done,,Medium,Done,2026-01-11 05:38:24,2026-01-12 10:32:48
MSSCI-11527,Story,20-1: Auto-configure OTEL for web mode,Done,Keith Avery,High,Done,2026-01-11 05:38:35,2026-01-12 10:26:58
MSSCI-11528,Story,20-2: Web mode feature parity audit,Done,Keith Avery,Medium,Done,2026-01-11 05:38:45,2026-01-12 10:26:58
MSSCI-11529,Story,20-3: Cyclist launcher with integrated Claude Code,Canceled,,Medium,,2026-01-11 05:38:56,2026-01-11 05:46:47
MSSCI-11530,Epic,Epic 25: Smart Question Detection & Quick Actions,To Do,,Medium,,2026-01-11 05:54:52,2026-01-11 05:54:52
MSSCI-11531,Story,25-1: Audit Current Quick Actions Detection,Done,Keith Avery,Highest,Done,2026-01-11 05:55:00,2026-01-12 10:24:00
MSSCI-11532,Story,25-2: Fix Enumeration False Positives,Done,Keith Avery,Highest,Done,2026-01-11 05:55:07,2026-01-12 10:23:58
MSSCI-11533,Story,25-3: Detect Handoff & Action Prompts,Done,Keith Avery,Highest,Done,2026-01-11 05:55:13,2026-01-12 10:11:01
MSSCI-11534,Story,"25-4: Universal Yes, Proceed Button",Done,Keith Avery,Highest,Done,2026-01-11 05:55:19,2026-01-12 10:23:56
MSSCI-11535,Story,25-6: Confidence Scoring for Detection,To Do,,High,,2026-01-11 05:57:30,2026-01-11 05:57:30
MSSCI-11536,Story,25-7: Quick Action Analytics,To Do,,Medium,,2026-01-11 05:57:36,2026-01-11 05:57:36
MSSCI-11537,Story,25-5: Structured Output Markers (Claude-side),Canceled,Keith Avery,High,,2026-01-11 05:59:13,2026-01-12 10:22:02
MSSCI-11538,Story,25-5: Structured Output Markers,Done,Keith Avery,High,Done,2026-01-11 05:59:13,2026-01-12 10:22:02
MSSCI-11539,Story,25-5: Structured Output Markers (Claude-side),Canceled,,High,,2026-01-11 06:00:55,2026-01-11 06:01:40
MSSCI-11542,Story,28-1: Clipboard image paste,Done,Keith Avery,Medium,Done,2026-01-12 02:52:33,2026-01-12 10:26:58
MSSCI-11543,Story,28-3: Image preview before send,Done,Keith Avery,Medium,Done,2026-01-12 02:53:02,2026-01-12 10:26:58
MSSCI-11544,Story,28-4: Base64 encoding for Claude API,Done,Keith Avery,Medium,Done,2026-01-12 02:53:07,2026-01-12 10:26:58
MSSCI-11545,Story,28-5: Image size validation and resize,Done,Keith Avery,Medium,Done,2026-01-12 02:53:12,2026-01-12 10:11:04
MSSCI-11546,Story,28-6: Multiple image support,To Do,,Medium,,2026-01-12 02:53:17,2026-01-12 02:53:17
MSSCI-11547,Story,28-2: Clipboard file paste,Done,Keith Avery,Medium,Done,2026-01-12 02:54:08,2026-01-12 10:26:58
MSSCI-11548,Epic,Configuration & Theme Switcher Panels,To Do,,Medium,,2026-01-12 08:18:39,2026-01-12 08:44:10
MSSCI-11549,Story,24-1: Settings Panel Infrastructure,Done,Keith Avery,Medium,Done,2026-01-12 08:18:48,2026-01-12 10:26:58
MSSCI-11550,Story,24-2: Pennyfarthing Settings Section,Done,Keith Avery,Medium,Done,2026-01-12 08:18:55,2026-01-12 10:26:58
MSSCI-11551,Story,24-3: Claude Code Settings Section,To Do,,Medium,,2026-01-12 08:19:05,2026-01-12 08:19:05
MSSCI-11552,Story,24-4: Cyclist Preferences Section,To Do,,Medium,,2026-01-12 08:19:06,2026-01-12 08:19:06
MSSCI-11553,Story,24-5: Theme Browser with Search,To Do,,Medium,,2026-01-12 08:19:07,2026-01-12 08:19:07
MSSCI-11554,Story,24-6: Theme Preview with Portraits,To Do,,Medium,,2026-01-12 08:19:08,2026-01-12 08:19:08
MSSCI-11555,Story,24-7: Theme Favorites,To Do,,Medium,,2026-01-12 08:19:09,2026-01-12 08:19:09
MSSCI-11556,Story,24-8: Quick Theme Switcher,To Do,,Medium,,2026-01-12 08:19:10,2026-01-12 08:19:10
